name	eu	fj_avg	bc_avg
Sylvie GOULARD	ALDE/ADLE	0.936242	0.967071
Sylvie GOULARD	ECR	0.936242	0.967071
Sylvie GOULARD	Greens/EFA	0.936242	0.967071
Sylvie GOULARD	NI	0.936242	0.967071
Sylvie GOULARD	S&D	0.936242	0.967071
Sylvie GOULARD	EFDD	0.933110	0.965398
Sylvie GOULARD	EPP	0.933110	0.965398
Sylvie GOULARD	GUE-NGL	0.933110	0.965398
Beatriz BECERRA BASTERRECHEA	ALDE/ADLE	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	Greens/EFA	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	NI	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	S&D	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	EFDD	0.983278	0.991568
Beatriz BECERRA BASTERRECHEA	EPP	0.983278	0.991568
Beatriz BECERRA BASTERRECHEA	GUE-NGL	0.983278	0.991568
Beatriz BECERRA BASTERRECHEA	ECR	0.979933	0.989865
Guy VERHOFSTADT	ALDE/ADLE	0.973154	0.986395
Guy VERHOFSTADT	ECR	0.973154	0.986395
Guy VERHOFSTADT	Greens/EFA	0.973154	0.986395
Guy VERHOFSTADT	NI	0.973154	0.986395
Guy VERHOFSTADT	S&D	0.973154	0.986395
Guy VERHOFSTADT	EFDD	0.969900	0.984720
Guy VERHOFSTADT	EPP	0.969900	0.984720
Guy VERHOFSTADT	GUE-NGL	0.969900	0.984720
Sophia in 't VELD	ALDE/ADLE	0.932886	0.965278
Sophia in 't VELD	ECR	0.932886	0.965278
Sophia in 't VELD	Greens/EFA	0.932886	0.965278
Sophia in 't VELD	NI	0.932886	0.965278
Sophia in 't VELD	S&D	0.932886	0.965278
Sophia in 't VELD	EFDD	0.929766	0.963605
Sophia in 't VELD	EPP	0.929766	0.963605
Sophia in 't VELD	GUE-NGL	0.929766	0.963605
Petr JEŽEK	ALDE/ADLE	0.983221	0.991540
Petr JEŽEK	ECR	0.983221	0.991540
Petr JEŽEK	Greens/EFA	0.983221	0.991540
Petr JEŽEK	S&D	0.983221	0.991540
Petr JEŽEK	EFDD	0.979933	0.989865
Petr JEŽEK	EPP	0.979933	0.989865
Petr JEŽEK	GUE-NGL	0.979933	0.989865
Petr JEŽEK	NI	0.976589	0.988156
Charles GOERENS	ALDE/ADLE	0.926174	0.961672
Charles GOERENS	ECR	0.926174	0.961672
Charles GOERENS	Greens/EFA	0.926174	0.961672
Charles GOERENS	NI	0.926174	0.961672
Charles GOERENS	S&D	0.926174	0.961672
Charles GOERENS	EFDD	0.923077	0.960000
Charles GOERENS	EPP	0.923077	0.960000
Charles GOERENS	GUE-NGL	0.923077	0.960000
Kaja KALLAS	ALDE/ADLE	0.936242	0.967071
Kaja KALLAS	ECR	0.936242	0.967071
Kaja KALLAS	Greens/EFA	0.936242	0.967071
Kaja KALLAS	NI	0.936242	0.967071
Kaja KALLAS	S&D	0.936242	0.967071
Kaja KALLAS	EFDD	0.933110	0.965398
Kaja KALLAS	EPP	0.933110	0.965398
Kaja KALLAS	GUE-NGL	0.933110	0.965398
