388	497	349	562	511	450	467	493	380	496	421
1380	1264	1364	1840	1686	1271	1260	1244	1311	1438	1677
966	1362	1248	1627	1312	1069	1122	1126	363	363	363
1377	1076	1169	989	1901	1625	1012	1234	1549	900	1162
396	437	466	403	616	1834	1262	1000	584	684	940
1371	1581	1762	911	1777	1200	1022	1696	1133	1005	1731
1370	1125	1712	1107	1849	1821	937	1710	1839	1262	1556
1361	1239	994	1869	1127	1089	1121	1848	1132	1596	1004
1359	1276	1853	979	899	1541	1225	943	1553	1226	1723
1357	1777	1294	1762	911	1200	1581	1022	1474	1264	1397
3141	2861	3216	3216	3216	3216	3216	3216	3216	3216	3216
1343	1262	1202	1562	1560	1834	1000	940	1546	1071	1194
1340	1840	1244	1311	1264	1364	1653	1392	1686	1595	1260
1339	1624	1771	1475	964	974	1326	1713	1497	1130	1603
59	37	118	56	56	56	56	56	56	56	56
57	24	345	377	911	1581	1200	2166	1762	1474	1022
56	59	37	118	118	118	118	118	118	118	118
1322	1276	976	1543	1258	899	1553	979	943	1853	1215
2217	2450	2113	2548	2558	2313	2313	2313	2313	2313	2313
1318	1249	2703	1385	1681	389	1503	930	1790	3050	1812
2214	2291	2609	2609	2609	2609	2609	2609	2609	2609	2609
1313	1574	1349	1270	968	1904	1164	1565	1489	1381	1519
1311	1840	1264	1244	1364	1731	1474	1094	1686	1260	1762
3106	2753	2753	2753	2753	2753	2753	2753	2753	2753	2753
1308	1443	1759	1147	1775	905	1415	1700	924	1514	1063
24	57	345	377	911	1581	1200	2166	1762	1474	459
1330	1238	1658	1295	1154	1544	1538	1010	1338	1366	1204
1331	1864	1755	1654	1134	1646	1592	1236	1429	1520	1691
1699	1264	1840	1364	1244	1686	1731	1311	1260	1677	1767
1694	1546	1071	1268	1194	1103	1168	961	937	1262	1740
3488	3913	3913	3913	3913	3913	3913	3913	3913	3913	3913
3481	3639	3639	3639	3639	3639	3639	3639	3639	3639	3639
1686	1264	1840	1260	1364	965	1244	1731	1311	1699	1777
1683	978	1761	1539	934	1335	1669	1467	1717	1264	1364
1682	1262	1202	1562	1560	1834	1695	1000	940	1887	1343
616	437	466	584	684	1834	1262	396	1000	579	403
1679	1546	1071	1194	1268	1168	1103	961	1202	1262	1887
1677	1264	1840	1364	1244	1731	1767	1311	1686	1260	1397
1673	936	1546	1071	1194	1268	1168	1103	961	1679	1262
394	976	540	522	1276	569	1543	618	418	523	1878
391	374	475	520	460	503	514	1397	1801	377	651
1667	1855	532	1412	1725	1645	1824	1309	1067	896	499
1665	1826	1285	1879	1899	1875	906	1020	1323	1576	1540
1661	1840	1595	1244	1392	1364	1311	1264	1686	1894	1260
385	453	643	455	654	490	628	1840	626	1244	617
1653	1340	1474	1094	1242	1015	1840	1244	941	1703	1311
1651	1730	1730	1730	1730	1730	1730	1730	1730	1730	1730
374	391	514	520	475	651	536	1425	1801	1397	460
363	1122	1362	1248	1627	1069	1312	966	1126	1126	1126
359	530	480	1338	1295	1154	1544	1658	1010	1366	1334
355	548	502	470	1820	357	1060	1221	1372	1490	1013
354	405	510	570	1492	379	1716	1090	986	1246	1766
1625	1234	1901	1162	900	1169	1382	1012	1549	989	913
1621	1185	1570	1563	1267	1608	1782	1276	1554	1553	976
1620	1262	1562	898	1343	1202	1000	1560	1834	1695	940
348	1264	1840	1364	1244	1677	1311	1686	1487	1731	1260
347	168	168	168	168	168	168	168	168	168	168
1619	1169	1901	1162	900	913	989	1729	1439	1625	1234
3400	3234	3234	3234	3234	3234	3234	3234	3234	3234	3234
1605	1722	1517	1380	1777	1271	1762	1464	1294	1463	1022
1604	1264	1364	1840	1686	1260	1244	1311	1677	1438	1767
326	116	116	116	116	116	116	116	116	116	116
313	238	238	238	238	238	238	238	238	238	238
300	346	346	346	346	346	346	346	346	346	346
2943	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850
1964	2406	2406	2406	2406	2406	2406	2406	2406	2406	2406
3759	3837	3519	3975	3579	3829	3829	3829	3829	3829	3829
684	584	616	437	579	466	672	677	403	1202	1560
2850	2943	2943	2943	2943	2943	2943	2943	2943	2943	2943
414	1150	1808	1698	1084	919	1636	1655	2628	484	614
675	650	647	600	643	665	628	660	377	533	624
663	657	596	596	596	596	596	596	596	596	596
434	437	450	466	403	1262	1562	1202	584	684	558
654	592	453	617	643	626	628	385	1840	490	1244
2821	2794	2794	2794	2794	2794	2794	2794	2794	2794	2794
641	1773	1679	1268	1546	1071	1194	1103	961	1168	1262
2810	2754	2754	2754	2754	2754	2754	2754	2754	2754	2754
1910	1546	1071	1194	1356	1168	1103	961	1268	1202	1560
1906	1748	1469	1025	1341	1420	1420	1420	1420	1420	1420
1902	1707	1456	1900	1560	1262	1268	1773	972	1562	1887
1901	1162	900	1169	1234	1625	913	1012	1549	1382	989
628	453	626	617	643	490	592	654	385	1264	1840
620	628	626	453	617	490	643	592	385	1264	654
475	1264	1677	1364	1840	1244	1686	1767	1260	1311	1731
1294	1762	1777	1464	911	1581	1200	1022	1696	1133	948
617	592	626	654	628	453	643	490	385	1264	620
3080	3010	3394	3277	3277	3277	3277	3277	3277	3277	3277
1284	1142	1277	1502	606	573	1809	1598	373	373	373
488	490	453	385	628	626	1264	617	643	620	592
1280	1160	1056	1268	1103	961	1546	1071	1194	1168	1262
490	453	628	626	385	617	643	1264	592	654	1840
1277	1284	1142	1502	606	1809	1598	573	373	373	373
497	493	544	524	434	450	437	403	388	555	466
995	1264	1364	1840	1244	1311	1686	1260	1731	1677	1699
993	1643	1669	1761	1827	952	1243	934	1840	1340	1717
1267	1185	1608	1563	1782	1621	1115	1250	1276	1258	954
101	254	254	254	254	254	254	254	254	254	254
1262	1834	1000	1202	1560	1562	940	1546	1071	1194	1168
1261	937	1786	1262	898	1710	1834	1773	1000	940	1268
1260	1264	1686	1840	1364	1244	1731	1311	965	1699	1677
3053	3200	3354	3354	3354	3354	3354	3354	3354	3354	3354
1258	1276	899	979	976	943	1543	1853	1131	1553	1781
3051	3397	3397	3397	3397	3397	3397	3397	3397	3397	3397
1250	1563	1267	1608	1115	1258	1226	1276	954	1853	1541
118	59	37	56	56	56	56	56	56	56	56
978	1335	1683	1474	1094	1015	1610	1827	1717	1365	934
976	1276	1878	1853	1543	899	979	943	1113	1606	1258
3044	3232	3232	3232	3232	3232	3232	3232	3232	3232	3232
1245	1466	1749	1634	1278	1715	1435	1227	1182	1457	483
1244	1840	1264	1364	1311	1731	1474	1094	453	911	1686
1243	1026	1329	1539	1637	1891	993	1777	1761	1762	1022
3036	2942	1755	1042	1654	1134	1815	1526	1646	1408	1897
960	1488	1777	1762	1464	1294	1463	1785	1022	1167	1696
953	1755	1134	1592	1236	1654	1646	1429	1032	1173	1014
2	149	226	226	226	226	226	226	226	226	226
1221	1060	1372	1490	1013	1820	1188	1830	1885	1873	902
948	1294	1777	1762	911	1200	1581	1022	1464	1696	1801
941	1474	1094	1840	1244	1762	911	1200	1581	1022	1777
940	1834	1262	1000	1202	1560	1562	1168	1546	1071	1194
3010	3080	3394	3277	3277	3277	3277	3277	3277	3277	3277
934	1761	1643	952	1669	1683	1463	1357	1255	993	1539
1209	1264	1054	1364	1840	1244	1686	1311	1260	1677	1767
930	1790	1249	2703	1385	1681	1318	1503	389	3050	1812
1201	1042	1654	1755	1526	1815	1134	1408	1897	1646	1259
3397	3051	3051	3051	3051	3051	3051	3051	3051	3051	3051
3394	3080	3010	3277	3277	3277	3277	3277	3277	3277	3277
1599	1814	1071	1546	1194	1168	1103	961	1268	1202	1560
1595	1840	1244	1264	1364	1311	1392	1894	1686	1260	1731
2491	2394	2394	2394	2394	2394	2394	2394	2394	2394	2394
1591	1459	1777	1762	1022	911	1474	1200	1581	1696	1094
917	1007	1052	1052	1052	1052	1052	1052	1052	1052	1052
1584	1551	1738	1441	1763	1021	1844	1427	1427	1427	1427
1580	1571	1654	1755	1134	1646	1429	1592	1236	1201	1691
1575	1762	911	1200	1581	1022	1474	1777	1696	1133	1264
1573	1276	976	1543	1853	1258	1553	899	1541	979	954
1571	1755	1580	1134	1654	1042	1526	1259	1592	1236	1751
1570	1276	1621	1608	1782	1553	976	1543	1258	954	1536
3368	2714	3063	3063	3063	3063	3063	3063	3063	3063	3063
296	263	263	263	263	263	263	263	263	263	263
3363	3213	3050	2703	1249	1385	1681	1503	389	1318	1790
1565	1270	1904	1349	1489	1381	1313	1519	968	1574	1116
1563	1276	1267	976	1621	1543	1608	1782	1774	1258	1553
2458	2183	2183	2183	2183	2183	2183	2183	2183	2183	2183
1554	1782	1258	1276	1570	954	976	1543	1553	1621	1185
2450	2113	2548	2558	2217	2313	2313	2313	2313	2313	2313
278	227	46	68	175	0	0	0	0	0	0
1549	1234	1901	1162	1012	1625	900	1169	989	1382	913
1545	1141	1046	1908	1354	1552	1496	1711	1348	957	1644
2439	2100	2375	2375	2375	2375	2375	2375	2375	2375	2375
263	296	296	296	296	296	296	296	296	296	296
